"Subject Code","Course Number","Course Title","Course Description","Requirements","Credits - Academic Credit - Units","Credits - Academic Credit - Credit Hours Max","Credits - Academic Credit - Credit Hours Value","Credits - Academic Credit - Credit Hours Operator","Prerequisites"
"ACT","505","Incentives and Accountability: How Organizations Shape Decisions","This course examines how to align employee decision-making with organizational objectives through well-designed performance measurement and reward systems. Students will learn to translate objectives into action using performance metrics, compensation schemes, and other management control mechanisms. The goal is to ensure accountability at all levels while avoiding common pitfalls that undermine effectiveness. The course is relevant for students pursuing careers across all business domains.","No","3","3","-","-","-"
"ACT","510","The Legal Environment","Survey of  the legal environment in which business enterprises operate. Topics include jurisprudential thought, sources of law, separation of powers, business ethics, constitutional law, regulation of interstate commerce, bill of rights, administrative law, and civil procedure.","No","3","3","-","-","-"
"ACT","511","Sustainability Measurement and Reporting","This course provides a critical analysis of current practices in business sustainability reporting and analysis. Topics covered include sustainability initiatives and challenges, reporting practices, reporting frameworks, reporting standards, regulatory requirements, NGOs, and rating agencies. The course also analyzes guidance for synthesizing information from corporate sustainability disclosures into traditional financial and valuation analyses. The class format combines lectures, interactive discussions, cases studies and project presentations.","No","3","3","-","-","-"
"ACT","512","Financial Reporting & Analysis","Introduction to the concepts, assumptions, principles, and procedures underlying financial accounting, with an emphasis on understanding how a company's operating, investing, and financing activities are reported on its financial statements.","No","3","3","-","-","-"
"ACT","512M","Financial Reporting & Analysis","This accounting course is about decision-making in organizations, both internal and external. It is designed for students graduating from liberal arts colleges in non-business areas of expertise.  Using financial statements strategically, you will be able to identify the financial levers that affect revenues, expenditures, and profitability. These along with ratio analysis are critical to key external stakeholders of a company.  In addition, we will focus on the management accounting system, which provides information for internal decision-making. You will learn about the types of information that internal accounting systems generate and how that information affects decisions such as cost-volume-profit analysis, pricing, break-even, managing inventory, managing costs, and maximizing profitability.
This course will help you improve organizational decisions which involve a cycle of planning and control. The course will incorporate real world applications, including actual financial statements, cases and projects to reinforce the relevance of topics to real business situations.","No","3","3","-","-","-"
"ACT","512Y","Financial Reporting","Introduction to the concepts, assumptions, principles, and procedures underlying financial accounting, with an emphasis on understanding how a company's operating, investing, and financing activities are reported on its financial statements.","No","2","2","-","-","-"
"ACT","513","Managerial Accounting","Introduction to the concepts, assumptions, and methods underlying managerial accounting, with an emphasis on using accounting information to plan and control a company's operations. Topics include information relevant for decision-making, cost behavior, activity-based costing, pricing, cost-volume-profit analysis, operating budgets and variance analysis, capital budgeting, and performance evaluation.","No","3","3","-","-","-"
"ACT","513A","Managerial Accounting","Introduction to the concepts, assumptions, and methods underlying managerial accounting, with an emphasis on using accounting information to plan and control a company's operations. Topics include information relevant for decision-making, cost behavior, activity-based costing, pricing, cost-volume-profit analysis, operating budgets and variance analysis, capital budgeting, and performance evaluation. For MEMBA students.","No","2","2","-","-","-"
"ACT","514","Financial Statement Analysis and Valuation","Methods and techniques commonly used to analyze financial statements of US and multinational companies: business strategy analysis, transaction analysis, assessment of earnings quality, financial ratio and cash flow analysis, credit analysis and bankruptcy prediction, forecasting accounting numbers and pro forma statements, and valuation using discounted cash flows, residual income, and market multiples.","No","3","3","-","-","-"
"ACT","516","Accounting for Social Impact Organizations","Social impact organizations-including foundations, nonprofits, NGOs, B Corps, and governments-put mission before profit to tackle some of today's toughest challenges facing people and the planet. Making up about 15% of the global economy and workforce, these organizations disclose detailed financial data showing how mission, money, and accountability intersect. In this course, you'll learn how to interpret and analyze that data. We'll explore how tax rules shape mission-focused behavior, how mission-related transactions are reported under U.S. GAAP, how incentives and governance affect reporting quality, and how financial statement analysis informs decision-making across different stakeholder groups. We'll do all this using real financial reports and tax filings from organizations working in a variety of sectors and regions. By the end of the course, you'll have the financial skills needed to serve as an effective team leader, consultant, or board member.","No","3","3","-","-","-"
"ACT","520","Accounting Analytics: Insights for Actions","This course teaches students how to use analytics with financial data to make better, data informed decisions. This course is an overview course and is designed to expose students to the many different ways in which data analytic tools can be used in accounting settings. To teach students how to successfully combine their understanding of accounting concepts with data analytics skills and tools, this course focuses on:
1. Reframing business issues that require the use of accounting knowledge into specific analytical questions
2. Manipulating data and calculating answers to the above framed questions
3. Communicating results with appropriate context in a meaningful and easy to understand manner","No","3","3","-","-","-"
"ACT","530","Personal Financial Planning","In this course, you will develop an understanding of the assumptions, principles, procedures, and concepts underlying personal financial planning with an emphasis on developing personal and financial goals, understanding sources of income, budgeting cash flows, saving emergency funds in the short term and developing relevant objectives, managing risk through insurance, taking advantage of employer provided benefits, tackling major life transactions, filing and minimizing taxes, navigating wills, trusts, estates, advanced directives, and power of attorney, and developing a financial plan.","No","3","3","-","-","-"
"ACT","535","Firm Fundamentals & Mispricing","This course will expose you to state-of-the-art research and valuable frameworks on the optimal use of accountinginformation for forecasting and on the identification of  market inefficiencies in using accounting information for equity valuation. You will identify relevant research, access appropriate databases, and use effective tools for performing analyses to distinguish between the fundamental value versus investor sentiment components of stock prices. Using these accounting signals will therefore aid in identifying mispriced stocks.","No","3","3","-","-","-"
"ACT","538","Corporate Political Strategy","By electing politicians who appoint regulators, voters effectively set the ""rules of the game"" for all businesses. Recognizing this, firms invest resources to glean information about future political developments and shape their disclosure practices to potentially influence political outcomes. In this class, you will learn how businesses leverage information dynamics to manage the risks and opportunities presented by political systems. We will examine government regulation of industry, activist and public interest groups, the role of lobbying and campaign contributions in the policymaking process, ethical frameworks for corporate political strategy, and other related topics. The course is case-based, drawing on case studies from a variety of institutional environments.","No","3","3","-","-","-"
"ACT","592","Cost and Performance Measurement in Healthcare","This course will introduce and apply some of the basic concepts and techniques learned in an introductory management accounting course to the unique setting of health care. We will examine topics related to resource planning, understanding cost behavior and cost drivers, costing of services (including the application of time-driven activity-based costing), and the assessment of performance relative to a budget. The case-based course will dive into these topics using examples from health care organizations (e.g., hospitals, clinics, and/or health care service providers). The aim of the course is to
prepare students working in the health care industry to apply modern costing concepts and techniques in their workplace.","No","1.5","1.5","-","-","-"
"ACT","599R","Special Topics","-","No","1","12","-","-","-"
